;0;1;2;3;4;5;6;7;8;9;10;11;12;13
0;1.9965106050743846;5.6114391371464105;19.347995825754534;10.996721456386659;40.947321258847516;3.6093019977309293;50.616720440557984;8.381401867471928;4.195926070180596;3.229424291909725;10.215083513584723;11.86739685872094;3.2272389141938094;1092.307999648528
1;2.3700671513503466;6.802641871412436;16.490662517257896;9.723326048130069;39.03436724183413;4.421101329390316;48.06284427083801;9.824126913217485;4.9190514013209485;3.4745592764730118;8.34225482312375;11.228552866293521;3.4753928034905486;1093.4922845037459
2;3.3169946654459244;9.757242925220972;11.585761328911302;7.31524440057575;35.403580146799904;6.408479876196482;43.216175083919055;13.541040865904662;6.782776634853668;4.182170334318582;4.906920632131391;10.015375675181211;4.190502675463943;1095.753259520711
3;3.9487023034153093;11.705374457067979;9.380155812060277;5.904635141845039;33.26068966034275;7.707787548140973;40.35607989657728;16.047703908831558;8.040550432859122;4.701576877686139;3.130440219263143;9.298876929305793;4.715844901926274;1097.0960119716267
4;3.4982212748486883;10.317275950877075;10.862285019083886;6.90108084218254;34.776198270225024;6.78265536212162;42.37878042938192;14.258538746447716;7.142721521965314;4.328099992422057;4.3508204610963634;9.805644774181669;4.338041197595944;1096.14573168673
5;3.1866801553135766;9.353792649424644;12.146591502677339;7.619028711522693;35.86304518650015;6.138533151295862;43.82946054295904;13.026068492353298;6.524469191239703;4.079000529891086;5.325061207975127;10.168952588271457;4.086218894347732;1095.4661692067089
6;3.676838443394412;10.86825665178236;10.217348338034805;6.500901133462149;34.16873233822265;7.15023401122267;41.567994830476295;14.967057753304028;7.498221408213195;4.474474028982337;3.835143842508251;9.602540065227346;4.486073103637038;1096.5262560585581
7;3.6907726868519943;10.911202870169168;10.170049704168806;6.469981469719532;34.12173755365754;7.178864388394243;41.5052718634565;15.02238159186781;7.525982522665544;4.485991975422739;3.7964552106382583;9.586826148576497;4.497723305755443;1096.5557149660644
8;3.140208762042956;9.209745562239766;12.35461417057299;7.728742590513574;36.02885341856798;6.042065880690651;44.05078173705262;12.842636242079717;6.432467974373251;4.042591221367539;5.477745383475054;10.224370196957414;4.049420527472839;1095.3626360466135
9;2.9419133384881975;8.593908573729877;13.289788168823078;8.206481425210393;36.75013651186498;5.629080555118431;45.0135726156313;12.06130456462934;6.0406310707691855;3.889658090280574;6.150733512828111;10.465418372634337;3.8948719210327005;1094.9126846639183
10;3.4799975775691867;10.261009409559124;10.931975887460677;6.942334466126773;34.83874559706245;6.7450884226129455;42.46226392165318;14.186323632881514;7.106490859801136;4.313303658218534;4.4053311535513515;9.826555523786528;4.3230798152453795;1096.1065798661318
11;3.6289479891019534;10.720614618955915;10.383311369453626;6.607486751489988;34.33066345834669;7.051786741142978;41.78412191818373;14.77696847383684;7.402838177222246;4.434994811289377;3.9699051170007182;9.656684454693865;4.446142126982003;1096.424770971006
12;3.448308147176719;10.163141947115099;11.05481863726999;7.014271481214129;34.947783187163466;6.679732507610714;42.60779979308785;14.060781527956253;7.04350725541584;4.2876374747887995;4.500895372009206;9.863008060112813;4.297128393677953;1096.0383399624504
13;3.7754618798027044;11.172124976435722;9.89243525685079;6.282924420554559;33.83722866796654;7.352743595981244;41.12554777192419;15.358785785311834;7.694796629407046;4.556288113447864;3.566738482612712;9.491688981751151;4.568834660777353;1096.7341276786487
14;4.3983183284477825;13.086921083254794;8.4503352696669;4.947144370414533;31.792001114239476;8.625879124827069;38.39604128364462;17.839906510970955;8.940282787685812;5.086892091996501;2.327595227690529;8.807556701370856;5.105981898774494;1098.0199837886594
15;4.4161876969339895;13.141770542896616;8.426667797076048;4.909769601201114;31.73431377079871;8.662282062027039;38.31905829365206;17.911246471530212;8.97610489250551;5.102425364511609;2.3098453718422474;8.788254029948705;5.121717299901065;1098.056337472297
16;3.8209789928017277;11.312291722671588;9.750419829600416;6.18298207616939;33.68506967331001;7.446108480831255;40.922468912982374;15.539694175768796;7.785585390811869;4.5942718622434136;3.447417025745266;9.44080540797737;4.607263585471201;1096.8295907358342
17;3.628288740772159;10.718581796760372;10.38563233233875;6.608957480921449;34.332897152709755;7.050431012883964;41.78710321058459;14.774352360555115;7.401525490402683;4.434452516061832;3.971779057575882;9.657431311842213;4.445593650460091;1096.4233713268263
