;Load_0;Load_1;Load_2;Load_3;Load_4;Load_5;Load_6;Load_7;Load_8;Load_9;Load_10;Load_11;Load_12
0;1691.358733982173;1691.358733982173;1691.358733982173;1691.358733982173;1691.358733982173;1691.358733982173;1691.358733982173;1691.358733982173;1691.358733982173;1691.358733982173;1691.358733982173;1691.358733982173;1691.358733982173
1;2847.3146629770267;2847.3146629770267;2847.3146629770267;2847.3146629770267;2847.3146629770267;2847.3146629770267;2847.3146629770267;2847.3146629770267;2847.3146629770267;2847.3146629770267;2847.3146629770267;2847.3146629770267;2847.3146629770267
2;5040.5271437500005;5040.5271437500005;5040.5271437500005;5040.5271437500005;5040.5271437500005;5040.5271437500005;5040.5271437500005;5040.5271437500005;5040.5271437500005;5040.5271437500005;5040.5271437500005;5040.5271437500005;5040.5271437500005
3;6334.669176302084;6334.669176302084;6334.669176302084;6334.669176302084;6334.669176302084;6334.669176302084;6334.669176302084;6334.669176302084;6334.669176302084;6334.669176302084;6334.669176302084;6334.669176302084;6334.669176302084
4;5419.430473632812;5419.430473632812;5419.430473632812;5419.430473632812;5419.430473632812;5419.430473632812;5419.430473632812;5419.430473632812;5419.430473632812;5419.430473632812;5419.430473632812;5419.430473632812;5419.430473632812
5;4763.0260625217015;4763.0260625217015;4763.0260625217015;4763.0260625217015;4763.0260625217015;4763.0260625217015;4763.0260625217015;4763.0260625217015;4763.0260625217015;4763.0260625217015;4763.0260625217015;4763.0260625217015;4763.0260625217015
6;5786.2938368923615;5786.2938368923615;5786.2938368923615;5786.2938368923615;5786.2938368923615;5786.2938368923615;5786.2938368923615;5786.2938368923615;5786.2938368923615;5786.2938368923615;5786.2938368923615;5786.2938368923615;5786.2938368923615
7;5814.675004904514;5814.675004904514;5814.675004904514;5814.675004904514;5814.675004904514;5814.675004904514;5814.675004904514;5814.675004904514;5814.675004904514;5814.675004904514;5814.675004904514;5814.675004904514;5814.675004904514
8;4662.881188259549;4662.881188259549;4662.881188259549;4662.881188259549;4662.881188259549;4662.881188259549;4662.881188259549;4662.881188259549;4662.881188259549;4662.881188259549;4662.881188259549;4662.881188259549;4662.881188259549
9;4227.223720898437;4227.223720898437;4227.223720898437;4227.223720898437;4227.223720898437;4227.223720898437;4227.223720898437;4227.223720898437;4227.223720898437;4227.223720898437;4227.223720898437;4227.223720898437;4227.223720898437
10;5381.656030815972;5381.656030815972;5381.656030815972;5381.656030815972;5381.656030815972;5381.656030815972;5381.656030815972;5381.656030815972;5381.656030815972;5381.656030815972;5381.656030815972;5381.656030815972;5381.656030815972
11;5688.500651274364;5688.500651274364;5688.500651274364;5688.500651274364;5688.500651274364;5688.500651274364;5688.500651274364;5688.500651274364;5688.500651274364;5688.500651274364;5688.500651274364;5688.500651274364;5688.500651274364
12;5315.804241090712;5315.804241090712;5315.804241090712;5315.804241090712;5315.804241090712;5315.804241090712;5315.804241090712;5315.804241090712;5315.804241090712;5315.804241090712;5315.804241090712;5315.804241090712;5315.804241090712
13;5986.493324348959;5986.493324348959;5986.493324348959;5986.493324348959;5986.493324348959;5986.493324348959;5986.493324348959;5986.493324348959;5986.493324348959;5986.493324348959;5986.493324348959;5986.493324348959;5986.493324348959
14;7221.621437608506;7221.621437608506;7221.621437608506;7221.621437608506;7221.621437608506;7221.621437608506;7221.621437608506;7221.621437608506;7221.621437608506;7221.621437608506;7221.621437608506;7221.621437608506;7221.621437608506
15;7256.460330013021;7256.460330013021;7256.460330013021;7256.460330013021;7256.460330013021;7256.460330013021;7256.460330013021;7256.460330013021;7256.460330013021;7256.460330013021;7256.460330013021;7256.460330013021;7256.460330013021
16;6078.383550716146;6078.383550716146;6078.383550716146;6078.383550716146;6078.383550716146;6078.383550716146;6078.383550716146;6078.383550716146;6078.383550716146;6078.383550716146;6078.383550716146;6078.383550716146;6078.383550716146
17;5687.15167782118;5687.15167782118;5687.15167782118;5687.15167782118;5687.15167782118;5687.15167782118;5687.15167782118;5687.15167782118;5687.15167782118;5687.15167782118;5687.15167782118;5687.15167782118;5687.15167782118
