;Tariff_mean;Tariff_max_1;Tariff_min_1;Tariff_max_2;Tariff_min_2;Tariff_max_3;Tariff_min_3
0;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
1;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
2;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
3;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
4;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
5;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
6;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
7;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
8;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
9;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
10;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
11;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
12;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
13;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
14;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
15;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
16;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
17;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
18;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
19;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
20;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
21;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
22;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
23;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
24;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
25;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
