;Residual_Actual;Residual_Optimized
0;5101.633397901238;7021.620235925473
1;7301.26542003755;7331.485532163348
2;9056.700816037326;6696.711847873264
3;8917.732198046875;8168.055611827256
4;9166.014602690972;16556.593516927085
5;7565.961450672743;20422.293293836803
6;12840.092312608505;28278.386606163196
7;13685.793331857638;26300.084949131942
8;11973.32717877604;13574.386996701389
9;10024.900006293403;9074.37738576389
10;15735.360098480904;10852.273356770835
11;18433.513203802315;7381.303375438217
12;16282.02944635062;1678.5187321564915
13;17226.401421874998;2051.0296755425347
14;15483.264408289931;5356.422457747396
15;13449.999391449652;5082.748152170139
16;10408.426908376736;4297.891268641493
17;6941.470552690972;1964.9843485405815
18;10278.28703921441;5324.362675558811
19;12032.87181375868;5532.669215516494
20;16829.470979774305;6726.278666861979
21;20104.699760243057;6353.9038364366315
22;19813.209265636953;6614.155336099054
23;13047.984300846327;4950.8367083578905
24;17171.21866111111;6207.697223784722
25;20953.107485243057;6612.336643641493
26;23406.424345052084;8944.808108680556
27;17338.734787586804;8596.299557421875
28;10545.796328862847;3819.871866948785
29;13422.695938194443;4809.197849652777
30;18449.943901171875;9471.772903103298
31;19220.066573350694;9615.943796223959
32;8182.324295703125;5171.04314750434
33;3778.896079188279;14670.127563584825
34;6804.106523883591;15954.400355533933
35;13320.39701438802;21046.426815798608
36;13535.584005208335;23781.01108029514
37;16203.815487109376;19682.871897743054
38;15476.785077256945;25516.895148697917
39;14160.088743315973;31865.217721614586
40;9175.283842751736;25783.19932048611
41;17209.988574869793;33114.715558072916
42;13281.530502126736;31939.859248784724
43;4663.445853114149;34146.27612899306
44;-4135.976556952914;24374.857933892694
45;-4186.588372434478;31460.653820468528
46;-2497.1460404622394;34207.275726388885
47;1134.8789455837673;27553.472721527778
48;-33.90530225084921;28330.795767274303
49;-804.7174881693521;18362.454723003473
50;-95.81186524052025;19641.763713194447
51;-1911.3572675040352;20794.303252951388
52;-3397.0195688205295;12791.632282161458
53;-986.8484211968316;11333.84311280382
54;5490.893614086915;15647.71686514757
55;12194.567047472363;12302.988198664048
56;15710.083286786079;7388.685603205645
57;11907.31109032118;5378.787936089409
58;12297.879042621527;5293.932412152778
59;19367.1034000434;5144.054253472223
60;23969.623990624998;7685.865509049479
61;25614.500515625;6992.443478320312
62;22386.34802092014;7530.951266579861
63;17614.14818090278;9734.36784750434
64;11694.860110243057;4008.501610449219
65;8420.801913823785;2128.932657449002
66;12884.66276519537;4204.198702589556
67;11867.16368372765;4484.058542585001
68;5114.651408268229;2053.3298741916233
69;4887.638346072048;2057.915173296441
70;8586.28953125;4312.567262944879
71;8387.39473250868;5087.8788256944445
72;10076.473404730901;8809.318347764756
73;12695.26277139757;12765.720879079861
74;16370.086791276042;16605.815603949653
75;12589.999441666667;12289.238163585069
76;5553.362098198784;5086.910423025173
77;4856.488955048564;4626.293911400706
78;8565.307340507192;7516.205503671387
79;9925.789457595487;8618.20019173177
80;4897.616932465277;3263.275600878906
81;4908.538183962673;3108.3370533094617
82;8515.832766362846;6081.9212232747395
83;9502.012970572918;6826.680081705729
84;10501.648771961805;7678.342384874131
85;11283.531754904514;8454.90449641927
86;12193.906126649304;6810.121103862847
87;10508.475823654513;4184.45964421658
88;9327.553651777265;2385.196627918266
89;9943.78409057603;2012.5041075901943
90;14123.261525260417;5455.074606759983
91;23926.20860824653;13018.20951827257
92;28858.411155555554;17687.760686762154
93;26470.2507640625;14468.09065282118
94;18219.136103819445;9649.37131705729
95;6538.386711284722;3971.8914189561633
