;Residual_Actual;Residual_Optimized
0;3401.5542376581493;4681.630858186012
1;4864.215994922126;4887.209527537572
2;6039.0587779296875;4463.954177799479
3;5945.000818706598;5448.690546484376
4;6110.111432139756;11166.626796592882
5;5048.877724544271;13649.99716032986
6;8552.118587478299;18935.218903862846
7;9122.742527213542;17507.84109105903
8;7987.471778667535;8933.535909244792
9;6689.067764605034;6008.876069943577
10;10481.411683181423;7252.31673187934
11;12288.980170639268;4891.127530121798
12;10856.41251979295;1054.7258438632095
13;11484.353147439237;1374.0091715277779
14;10322.150792317709;3601.0657340115017
15;8965.148676996529;3385.3013521267358
16;6936.701358854167;2858.787171191406
17;4625.0209278211805;1292.3024840820312
18;6857.388064409722;3573.144020903863
19;8024.3814303819445;3689.140169129774
20;11230.396354839411;4489.481253450521
21;13410.168741753472;4233.604815820313
22;13207.556353037156;4410.665719755643
23;8677.68595132289;3293.957071938682
24;11470.806448220486;4142.191617133247
25;13993.772008029515;4409.341331032986
26;15614.98881202257;5968.568418880209
27;11530.688841059027;5729.935052213542
28;7010.410198328993;2528.3882762912326
29;8953.327056553819;3208.7869292534724
30;12255.04536766493;6293.709660243056
31;12583.50963203125;6189.988339257812
32;4831.6301347656245;2832.1573340386285
33;1499.9187338250015;8821.94827575458
34;2975.8172210845923;9117.601019281108
35;6643.639469487847;11934.335718315971
36;6421.352743923611;13315.60644027778
37;8014.781084157986;10326.557244444444
38;7145.8784166232645;13915.75791467014
39;5932.839858723959;17768.94436731771
40;2336.8623687554255;13413.503730902778
41;7277.834914078776;17903.512685850696
42;4210.2535231770835;16680.134702864583
43;-1881.5736870876735;17833.349860460068
44;-8239.675109232827;10987.577278393714
45;-8162.458058110794;15580.75564816561
46;-6966.191898220486;17456.145621310763
47;-4639.102321657986;12916.53150034722
48;-5359.199525868055;13599.850565060764
49;-5819.4422583333335;7006.155924414062
50;-5278.943282899306;7863.323990104166
51;-6402.355678884548;8793.898482942708
52;-6838.269549717882;4065.317559570313
53;-4626.988805664063;3568.752596766493
54;235.33665500885644;6819.177768619792
55;4978.555407974259;4888.367874252529
56;7579.15185232283;1981.63065155187
57;5136.305185416667;1004.6335419121637
58;6019.653335850694;1319.545592706977
59;11464.909512261285;1643.8166456814238
60;14841.421762717015;3821.1448851942278
61;16232.798664279513;3780.5448936740454
62;14173.882655078125;4468.790813704427
63;11201.855737890626;6195.457515863715
64;7385.327677322049;2560.913469281684
65;5446.772789236112;1398.7885666666666
66;8864.745361340894;2802.756260239508
67;7812.010484112848;2989.5342466461884
68;3040.6983819878474;1363.1841642306858
69;3298.5769542317707;1372.1809846571182
70;5955.494537500001;2880.417293636068
71;5544.750264930555;3392.481416449653
72;6828.451234375;5872.8576734375
73;8605.649194813368;8507.671885633681
74;11102.93569952257;11108.274177777777
75;8145.350069943576;8141.679068511285
76;3325.6437879774307;3336.5538424153647
77;3254.443105672737;3084.443309245617
78;5936.375922807402;5055.310267365131
79;6665.672213172743;5756.922075065104
80;2947.8089772786457;2122.751527669271
81;3320.1603688910586;2074.902917702908
82;5888.912383875868;4071.2844191840277
83;6363.392722960069;4554.986003016493
84;7062.537584613715;5132.864193012152
85;7562.468735959202;5647.316359526909
86;8183.024202669271;4502.737917426215
87;6883.553783246528;2663.702255067274
88;6156.512220461168;1502.6551887744204
89;6680.972776578992;1334.813304448445
90;9695.319945551215;3859.5896043348525
91;16590.743723784723;9136.611711219619
92;19480.650040364584;12015.849962586806
93;17436.526494444446;9374.007152647568
94;11596.59384405382;6151.751919900174
95;3630.762466601562;2310.4520481770833
