;Feed_in_Price_EUR_kWh;Electricity_Price_EUR_kWh;PV_Power_W;Irradiance;Time_unix
0;0.0816;0.271988;-0.012565581;0;1609459200
1;0.0816;0.271988;0.001559553;0;1609459260
2;0.0816;0.271988;-0.001374733;0;1609459320
3;0.0816;0.271988;-0.004254718;0;1609459380
4;0.0816;0.271988;0.014542433;0;1609459440
5;0.0816;0.271988;0.001088848;0;1609459500
6;0.0816;0.271988;6.69E-05;0;1609459560
7;0.0816;0.271988;-0.004578076;0;1609459620
8;0.0816;0.271988;-0.000271243;0;1609459680
9;0.0816;0.271988;-0.000306502;0;1609459740
10;0.0816;0.271988;-0.010225036;2.68E-05;1609459800
11;0.0816;0.271988;0.002695452;2.68E-05;1609459860
12;0.0816;0.271988;0.000989871;2.68E-05;1609459920
13;0.0816;0.271988;-0.011393008;2.68E-05;1609459980
14;0.0816;0.271988;0.007110383;2.68E-05;1609460040
15;0.0816;0.271988;-0.018327609;2.68E-05;1609460100
16;0.0816;0.271988;0.054623491;2.68E-05;1609460160
17;0.0816;0.271988;0.016512242;2.68E-05;1609460220
18;0.0816;0.271988;-0.00599033;2.68E-05;1609460280
19;0.0816;0.271988;0.005552478;2.68E-05;1609460340
20;0.0816;0.271988;0.028832129;0.000113035;1609460400
21;0.0816;0.271988;-0.002514784;0.000113035;1609460460
22;0.0816;0.271988;0.011480398;0.000113035;1609460520
23;0.0816;0.271988;-0.000319471;0.000113035;1609460580
24;0.0816;0.271988;0.000186106;0.000113035;1609460640
25;0.0816;0.271988;-0.007974763;0.000113035;1609460700
26;0.0816;0.271988;-0.005026155;0.000113035;1609460760
27;0.0816;0.271988;0.014889907;0.000113035;1609460820
28;0.0816;0.271988;0.004670353;0.000113035;1609460880
29;0.0816;0.271988;-0.003891154;0.000113035;1609460940
30;0.0816;0.271988;-0.000334846;0.000267239;1609461000
31;0.0816;0.271988;0.002818598;0.000267239;1609461060
32;0.0816;0.271988;-0.013323676;0.000267239;1609461120
33;0.0816;0.271988;0.055200108;0.000267239;1609461180
34;0.0816;0.271988;-0.006343476;0.000267239;1609461240
35;0.0816;0.271988;0.022981998;0.000267239;1609461300
36;0.0816;0.271988;0.001964049;0.000267239;1609461360
37;0.0816;0.271988;0.011508323;0.000267239;1609461420
38;0.0816;0.271988;0.000945651;0.000267239;1609461480
39;0.0816;0.271988;0.004321653;0.000267239;1609461540
40;0.0816;0.271988;-0.00342643;0.00049804;1609461600
41;0.0816;0.271988;0.007934249;0.00049804;1609461660
42;0.0816;0.271988;-0.004447086;0.00049804;1609461720
43;0.0816;0.271988;0.001942442;0.00049804;1609461780
44;0.0816;0.271988;-0.01969874;0.00049804;1609461840
45;0.0816;0.271988;0.018043675;0.00049804;1609461900
46;0.0816;0.271988;-0.008307649;0.00049804;1609461960
47;0.0816;0.271988;0.020058626;0.00049804;1609462020
48;0.0816;0.271988;-0.025453544;0.00049804;1609462080
49;0.0816;0.271988;-0.029861777;0.00049804;1609462140
50;0.0816;0.271988;-0.005761725;0.000814045;1609462200
51;0.0816;0.271988;0.011703643;0.000814045;1609462260
52;0.0816;0.271988;-0.006075959;0.000814045;1609462320
53;0.0816;0.271988;0.007633107;0.000814045;1609462380
54;0.0816;0.271988;0.002435769;0.000814045;1609462440
55;0.0816;0.271988;0.009352843;0.000814045;1609462500
56;0.0816;0.271988;0.003330716;0.000814045;1609462560
57;0.0816;0.271988;0.016810023;0.000814045;1609462620
58;0.0816;0.271988;0.00880964;0.000814045;1609462680
59;0.0816;0.271988;0.00027497;0.000814045;1609462740
60;0.0816;0.267317;0.091872212;0.00122386;1609462800
61;0.0816;0.267317;0.004240044;0.00122386;1609462860
62;0.0816;0.267317;0.0221832;0.00122386;1609462920
63;0.0816;0.267317;0.007939928;0.00122386;1609462980
64;0.0816;0.267317;0.012404183;0.00122386;1609463040
65;0.0816;0.267317;0.039698304;0.00122386;1609463100
66;0.0816;0.267317;0.028688737;0.00122386;1609463160
67;0.0816;0.267317;0.014482288;0.00122386;1609463220
68;0.0816;0.267317;0.0253727;0.00122386;1609463280
69;0.0816;0.267317;0.016652058;0.00122386;1609463340
70;0.0816;0.267317;0.012245001;0.00173609;1609463400
71;0.0816;0.267317;0.019383239;0.00173609;1609463460
72;0.0816;0.267317;0.014533624;0.00173609;1609463520
73;0.0816;0.267317;0.019494868;0.00173609;1609463580
74;0.0816;0.267317;0.02519566;0.00173609;1609463640
75;0.0816;0.267317;-0.015338951;0.00173609;1609463700
76;0.0816;0.267317;0.025228479;0.00173609;1609463760
77;0.0816;0.267317;0.08667049;0.00173609;1609463820
78;0.0816;0.267317;0.017474074;0.00173609;1609463880
79;0.0816;0.267317;0.042092167;0.00173609;1609463940
80;0.0816;0.267317;0.040529724;0.002359342;1609464000
