;Electricity_Price_mean
0;0.271987737
1;0.271987737
2;0.271987737
3;0.271987737
4;0.271987737
5;0.271987737
6;0.271987737
7;0.271987737
8;0.271987737
9;0.271987737
10;0.271987737
11;0.271987737
12;0.271987737
13;0.271987737
14;0.271987737
15;0.271987737
16;0.271987737
17;0.271987737
18;0.271987737
19;0.271987737
20;0.271987737
21;0.271987737
22;0.271987737
23;0.271987737
24;0.271987737
25;0.271987737
26;0.271987737
27;0.271987737
28;0.271987737
29;0.271987737
30;0.271987737
31;0.271987737
32;0.271987737
33;0.271987737
34;0.271987737
35;0.271987737
36;0.271987737
37;0.271987737
38;0.271987737
39;0.271987737
40;0.271987737
41;0.271987737
42;0.271987737
43;0.271987737
44;0.271987737
45;0.271987737
46;0.271987737
47;0.271987737
48;0.271987737
49;0.271987737
50;0.271987737
51;0.271987737
52;0.271987737
53;0.271987737
54;0.271987737
55;0.271987737
56;0.271987737
57;0.271987737
58;0.271987737
59;0.271987737
60;0.271987737
61;0.271987737
62;0.271987737
63;0.271987737
64;0.271987737
65;0.271987737
66;0.271987737
67;0.271987737
68;0.271987737
69;0.271987737
70;0.271987737
71;0.271987737
72;0.271987737
73;0.271987737
74;0.271987737
75;0.271987737
76;0.271987737
77;0.271987737
78;0.271987737
79;0.271987737
80;0.271987737
81;0.271987737
82;0.271987737
83;0.271987737
84;0.271987737
85;0.271987737
86;0.271987737
87;0.271987737
88;0.271987737
89;0.271987737
90;0.271987737
91;0.271987737
92;0.271987737
93;0.271987737
94;0.271987737
95;0.271987737
96;0.271987737
97;0.271987737
98;0.271987737
99;0.271987737
100;0.271987737
101;0.271987737
102;0.271987737
103;0.271987737
104;0.271987737
105;0.271987737
106;0.271987737
107;0.271987737
108;0.271987737
109;0.271987737
110;0.271987737
111;0.271987737
112;0.271987737
113;0.271987737
114;0.271987737
115;0.271987737
116;0.271987737
117;0.271987737
118;0.271987737
119;0.271987737
120;0.271987737
121;0.271987737
122;0.271987737
123;0.271987737
124;0.271987737
125;0.271987737
126;0.271987737
127;0.271987737
128;0.271987737
129;0.271987737
130;0.271987737
131;0.271987737
132;0.271987737
133;0.271987737
134;0.271987737
135;0.271987737
136;0.271987737
137;0.271987737
138;0.271987737
139;0.271987737
140;0.271987737
141;0.271987737
142;0.271987737
143;0.271987737
144;0.271987737
145;0.271987737
146;0.271987737
147;0.271987737
148;0.271987737
149;0.271987737
150;0.271987737
151;0.271987737
152;0.271987737
153;0.271987737
154;0.271987737
155;0.271987737
156;0.271987737
157;0.271987737
158;0.271987737
159;0.271987737
160;0.271987737
161;0.271987737
162;0.271987737
163;0.271987737
164;0.271987737
165;0.271987737
166;0.271987737
167;0.271987737
168;0.271987737
169;0.271987737
170;0.271987737
171;0.271987737
172;0.271987737
173;0.271987737
174;0.271987737
175;0.271987737
176;0.271987737
177;0.271987737
178;0.271987737
179;0.271987737
180;0.271987737
181;0.271987737
182;0.271987737
183;0.271987737
184;0.271987737
185;0.271987737
186;0.271987737
187;0.271987737
188;0.271987737
189;0.271987737
190;0.271987737
191;0.271987737
192;0.271987737
193;0.271987737
194;0.271987737
195;0.271987737
196;0.271987737
197;0.271987737
198;0.271987737
199;0.271987737
200;0.271987737
201;0.271987737
202;0.271987737
203;0.271987737
204;0.271987737
205;0.271987737
206;0.271987737
207;0.271987737
208;0.271987737
209;0.271987737
210;0.271987737
211;0.271987737
212;0.271987737
213;0.271987737
214;0.271987737
215;0.271987737
216;0.271987737
217;0.271987737
218;0.271987737
219;0.271987737
220;0.271987737
221;0.271987737
222;0.271987737
223;0.271987737
224;0.271987737
225;0.271987737
226;0.271987737
227;0.271987737
228;0.271987737
229;0.271987737
230;0.271987737
231;0.271987737
232;0.271987737
233;0.271987737
