;Washing_Machine;Wash_Dryer;Dish_Washer;EV;Electric_Water_Heater;Washing_Machine_2
Run_Time;100.0;67.0;120.0;60.0;30.0;0.0
Power;450.0;500.0;1200.0;2000.0;1125.0;460.0
