;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14
0;1.0157621506716712;1.0167467587359318;1.0180469275766078;1.0164101028546648;1.0163744204975222;1.0163870395198877;1.01804193585332;1.0169819525869412;1.0171707528565523;1.0182536653799772;1.0184276036306747;1.0180092142804744;1.0183965265408454;1.0174332070867678;1.025
1;1.015539919429018;1.0166481789630781;1.017764335175395;1.0163827948067496;1.0153242541821434;1.0153406847083257;1.017649469044434;1.016924548111896;1.0170197855256655;1.0180529510195828;1.0182995907810848;1.0176041104041602;1.0181783450498705;1.0167914297941734;1.025
2;1.015117970289581;1.016461020656255;1.0172277704753936;1.0163309267821383;1.0133264395756694;1.0133501235689426;1.0169032277251984;1.0168155474704272;1.0167331768220897;1.017671862691405;1.0180565397481696;1.0168338345264474;1.017764129128198;1.015570858313048;1.025
3;1.0148688033052267;1.0163505098902508;1.0169109163345784;1.0163002865570134;1.0121443031999127;1.0121722807514608;1.0164619007278939;1.0167511765824102;1.0165639500089998;1.0174468287856908;1.0179130184159693;1.0163782896030018;1.0175195558006072;1.01484883407498;1.025
4;1.0150450328532006;1.0164286706978913;1.017135019694496;1.0163219585002254;1.01298058365253;1.013005523684499;1.0167740912127419;1.0167967048401938;1.0166836383675897;1.0176059892923888;1.0180145271607177;1.0167005380126009;1.017692534287811;1.0153596008553551;1.025
5;1.0151713805590306;1.0164847100836567;1.017295689360858;1.0163374935700817;1.0135796043028533;1.0136023689459606;1.0169977644664636;1.016829345279021;1.0167694533948437;1.0177201003108904;1.0180873046720194;1.0169314165154382;1.0178165573411433;1.015725505982881;1.025
6;1.0149744016079454;1.0163973441424035;1.0170452012729205;1.016313273089342;1.0126455173727273;1.0126716743545698;1.0166489976454187;1.0167784577182277;1.0166356674525325;1.0175421989818427;1.0179738431864083;1.016571414446608;1.017623204830247;1.0151549464983645;1.025
7;1.0149689370196187;1.0163949204942628;1.0170382522022015;1.0163126010911925;1.012619588451046;1.0126458396095401;1.0166393178920665;1.0167770459670422;1.0166319560909507;1.0175372636716364;1.0179706955629928;1.0165614228425173;1.0176178410209935;1.0151391099093412;1.025
8;1.0151906537296878;1.0164932585211781;1.0173201979437887;1.0163398631090672;1.0136709390557463;1.0136933720362078;1.0170318726453842;1.016834324200278;1.0167825440121585;1.017737506958622;1.018098406269515;1.0169666233653372;1.0178354763622062;1.0157813002602114;1.025
9;1.0152744875083985;1.0165304426819164;1.0174268042795827;1.0163501694591885;1.0140680999751719;1.0140890908318292;1.0171802011031204;1.0168559811119622;1.0168394861508763;1.0178132220162717;1.0181466958138203;1.0171197294842274;1.017917771072839;1.0160239272561582;1.025
10;1.0150523048278808;1.0164318960132177;1.0171442671044943;1.0163228526844348;1.013015072886093;1.0130398876596323;1.0167869682132875;1.0167985834922337;1.0166885773714787;1.0176125569597319;1.0180187158696403;1.0167138298437555;1.017699672326245;1.015380667153857;1.025
11;1.0149932305767884;1.0164056951644942;1.0170691452134262;1.0163155885243507;1.0127348538234435;1.0127606863289746;1.0166823491203172;1.0167833220858975;1.0166484554862663;1.017559204261089;1.0179846887511492;1.0166058403912215;1.0176416866087925;1.0152095108971975;1.025
12;1.015064981699282;1.016437518558242;1.0171603876463222;1.0163244114539105;1.0130751926101207;1.0130997890424822;1.016809415044561;1.0168018584460035;1.0166971873208548;1.0176240060535364;1.0180260178430218;1.0167369997903717;1.0177121157542293;1.015417389072249;1.025
13;1.0149358529673087;1.0163802471707766;1.0169961806590708;1.016308532535904;1.0124625865303356;1.0124894079508637;1.0165807082234928;1.0167684988146404;1.0166094867086979;1.0175073840451108;1.0179516390577097;1.0165009249228587;1.0175853673524626;1.0150432197956196;1.025
14;1.0146979532902192;1.0162747381286727;1.0166936521064853;1.0162792720803837;1.0113326939126617;1.011363619936177;1.0161590040914972;1.0167070364970716;1.0164479222079736;1.017292528245424;1.0178146096173142;1.016065633073831;1.0173518672181547;1.0143532089973155;1.025
15;1.014691241118652;1.0162717613496477;1.0166851164287738;1.0162784464069603;1.0113007916602004;1.0113318335913937;1.0161470996381035;1.01670530233752;1.0164433639675985;1.0172864662803507;1.0178107434636905;1.0160533450098523;1.0173452794355187;1.0143337286890002;1.025
16;1.0149181582741083;1.0163723993288392;1.0169736790646595;1.016306356446831;1.012378602804164;1.012405729278551;1.0165493578889093;1.0167639274269729;1.016597469275596;1.017491403230826;1.017941446885368;1.0164685645413853;1.0175679992603013;1.0149919271899606;1.025
17;1.0149934903007256;1.0164058103574871;1.017069475492356;1.016315620462769;1.0127360860454468;1.0127619140755075;1.0166828091458178;1.016783389184113;1.0166486318830459;1.0175594388294522;1.0179848383533332;1.0166063152370441;1.0176419415444427;1.0152102635127251;1.025
18;1.0148574129474157;1.0163454581854305;1.0168964316535818;1.0162988856733621;1.0120902205047364;1.0121183945145054;1.016441714224563;1.0167482338673766;1.01655621436604;1.0174365417155231;1.0179064575835755;1.0163574526956347;1.0175083759170758;1.0148158051656446;1.025
19;1.0148778080109093;1.0163545035510506;1.0169223672677763;1.0163013940200896;1.012187055894954;1.012214878146842;1.016477858539906;1.0167535029558472;1.0165700654827758;1.0174549612862533;1.0179182051196858;1.016394761567374;1.0175283941445445;1.0148749438538947;1.025
20;1.0152926799571023;1.016538511973658;1.0174499384581892;1.0163524058745614;1.014154259792653;1.0141749378133833;1.0172123819766823;1.0168606807466467;1.0168518431661882;1.0178296526988044;1.0181571749857288;1.0171529468609986;1.0179356298347602;1.0160765648679635;1.025
21;1.01554926164127;1.0166523229775448;1.0177762149249725;1.0163839429233053;1.0153684295536056;1.0153846997299116;1.0176659754431518;1.0169269613470198;1.0170261316931217;1.0180613886496748;1.0183049721714341;1.0176211483393713;1.0181875166960097;1.016818423811542;1.025
22;1.0155524141974441;1.016653721388618;1.0177802237794693;1.0163843303565128;1.0153833362383111;1.0153995523058956;1.0176715454586078;1.0169277756993216;1.0170282732289064;1.0180642359527583;1.0183067881376278;1.0176268977189191;1.0181906116989279;1.0168275327989045;1.025
23;1.0156615782700147;1.0167021450706297;1.0179190386524404;1.0163977452182071;1.0158993333603104;1.0159136765638288;1.0178643699096297;1.01695597408103;1.0171024300238432;1.0181628302949528;1.018369670182171;1.0178259311591713;1.0182977849058983;1.017142857114863;1.025
24;1.0160692984971196;1.0168830154769422;1.0184374962080047;1.016447834653396;1.0178235677204153;1.0178309286716907;1.0185837341544917;1.0170612876692038;1.0173794253807125;1.0185310786333928;1.0186045351162234;1.0185684542631934;1.0186981034488771;1.0183190063501597;1.025
25;1.0163019925750025;1.0169862498721254;1.0187333857971854;1.0164764117657603;1.0189196725427434;1.018923057554357;1.0189937118381318;1.0171213884731314;1.0175375297711422;1.0187412490916328;1.0187385807018532;1.0189916271750623;1.018926597307642;1.018989157680999;1.025
26;1.016386783665337;1.017023868777228;1.018841203804917;1.0164868231613213;1.0193187046590326;1.0193206424939336;1.0191429992504284;1.0171432878568798;1.01759514440556;1.0188178335140519;1.0187874260312817;1.0191457188286082;1.0190098622303851;1.0192331555594991;1.025
27;1.0165700849547994;1.0171051959578685;1.0190742831769586;1.016509327269799;1.0201806480951978;1.0201794603530716;1.0194655398105859;1.0171906287125185;1.0177197014735526;1.0189833948896263;1.0188930209776967;1.0194786380087901;1.0191898721793808;1.0197602704360085;1.025
28;1.0162266477009034;1.0169528225844533;1.0186375789729563;1.0164671594626722;1.018564926560261;1.0185695982457252;1.0188610094281672;1.01710192850793;1.0174863351657442;1.0186731969222838;1.0186951773084354;1.0188546539755383;1.0188526105242435;1.0187722540787216;1.025
29;1.0161948685672764;1.0169387237309215;1.0185971692484153;1.0164632567797391;1.0184152534072746;1.0184204679927646;1.0188050247675549;1.0170937205544628;1.0174647425902397;1.0186444938088999;1.0186768706058384;1.0187968674717118;1.018821404758691;1.0186807429706957;1.025
