;Specifications;Dish_Washer;Kettle;Toaster;Vaccum_Cleaner;Clothing_Iron;Oven;EV;Electric_Water_Heater;Wash_Dryer;Washing_Machine
0;Run_Time;120;10;15;45;8;60;60;30;67;100
1;Power;1200;1900;1000;1750;1100;950;2000;1125;500;450
