;Specifications;Dish_Washer;Kettle;Toaster;Vaccum_Cleaner;Clothing_Iron;Oven;EV;Electric_Water_Heater;Wash_Dryer;Washing_Machine
0;Run_Time;0;0;0;0;0;0;0;0;0;0
1;Power;0;0;0;0;0;0;0;0;0;0
