;Electricity_Price_EUR_Wh;Feed_in_Tariff_EUR_Wh
0;0.000271988;8.16E-05
1;0.000271988;8.16E-05
2;0.000271988;8.16E-05
3;0.000271988;8.16E-05
4;0.000267317;8.16E-05
5;0.000267317;8.16E-05
6;0.000267317;8.16E-05
7;0.000267317;8.16E-05
8;0.000264428;8.16E-05
9;0.000264428;8.16E-05
10;0.000264428;8.16E-05
11;0.000264428;8.16E-05
12;0.000263938;8.16E-05
13;0.000263938;8.16E-05
14;0.000263938;8.16E-05
15;0.000263938;8.16E-05
16;0.000268388;8.16E-05
17;0.000268388;8.16E-05
18;0.000268388;8.16E-05
19;0.000268388;8.16E-05
20;0.000283721;8.16E-05
21;0.000283721;8.16E-05
22;0.000283721;8.16E-05
23;0.000283721;8.16E-05
24;0.000301757;8.16E-05
25;0.000301757;8.16E-05
26;0.000301757;8.16E-05
27;0.000301757;8.16E-05
28;0.000315399;8.16E-05
29;0.000315399;8.16E-05
30;0.000315399;8.16E-05
31;0.000315399;8.16E-05
32;0.000312738;8.16E-05
33;0.000312738;8.16E-05
34;0.000312738;8.16E-05
35;0.000312738;8.16E-05
36;0.00030519;8.16E-05
37;0.00030519;8.16E-05
38;0.00030519;8.16E-05
39;0.00030519;8.16E-05
40;0.000298575;8.16E-05
41;0.000298575;8.16E-05
42;0.000298575;8.16E-05
43;0.000298575;8.16E-05
44;0.000293453;8.16E-05
45;0.000293453;8.16E-05
46;0.000293453;8.16E-05
47;0.000293453;8.16E-05
48;0.000286188;8.16E-05
49;0.000286188;8.16E-05
50;0.000286188;8.16E-05
51;0.000286188;8.16E-05
52;0.000281761;8.16E-05
53;0.000281761;8.16E-05
54;0.000281761;8.16E-05
55;0.000281761;8.16E-05
56;0.00028496;8.16E-05
57;0.00028496;8.16E-05
58;0.00028496;8.16E-05
59;0.00028496;8.16E-05
60;0.000292588;8.16E-05
61;0.000292588;8.16E-05
62;0.000292588;8.16E-05
63;0.000292588;8.16E-05
64;0.000307325;8.16E-05
65;0.000307325;8.16E-05
66;0.000307325;8.16E-05
67;0.000307325;8.16E-05
68;0.00032569;8.16E-05
69;0.00032569;8.16E-05
70;0.00032569;8.16E-05
71;0.00032569;8.16E-05
72;0.00033296;8.16E-05
73;0.00033296;8.16E-05
74;0.00033296;8.16E-05
75;0.00033296;8.16E-05
76;0.000323859;8.16E-05
77;0.000323859;8.16E-05
78;0.000323859;8.16E-05
79;0.000323859;8.16E-05
80;0.000308704;8.16E-05
81;0.000308704;8.16E-05
82;0.000308704;8.16E-05
83;0.000308704;8.16E-05
84;0.00029697;8.16E-05
85;0.00029697;8.16E-05
86;0.00029697;8.16E-05
87;0.00029697;8.16E-05
88;0.000286344;8.16E-05
89;0.000286344;8.16E-05
90;0.000286344;8.16E-05
91;0.000286344;8.16E-05
92;0.000275226;8.16E-05
93;0.000275225;8.16E-05
94;0.000275225;8.16E-05
95;0.000275225;8.16E-05
