;Residual_Actual;Residual_Optimized
0;3401.5999527708086;4681.657861056387
1;4871.357818448829;4887.854326551895
2;6046.173579101563;4462.524985525173
3;5944.493919118923;5459.246068880208
4;6106.84267701823;11223.09025842014
5;5056.698440516493;13688.802296310765
6;8629.034715885417;18987.87883732639
7;9121.57211391059;17436.652881987848
8;7943.112220833334;8771.283485047743
9;6724.101550065104;5973.679567947048
10;10608.364649045137;7246.775343033854
11;12296.621377758252;4781.133412811797
12;10836.851753592297;994.4605519011541
13;11466.067270225694;1436.2895017415365
14;10251.900491232638;3633.690393674045
15;8862.09490141059;3363.836904090712
16;6794.384338216146;2794.0465953125
17;4660.279011892361;1349.780488406033
18;6975.936399674479;3625.7175431640626
19;8220.721989800348;3726.856929557292
20;11443.087448046876;4495.396407204861
21;13461.222180034723;4236.444252734375
22;12908.6853055081;4352.823120290599
23;8727.908238141015;3318.7592617299947
24;11729.051025347222;4181.022744401042
25;14174.420520876738;4522.678120594618
26;15360.570446050348;5994.516918641493
27;11040.553079296875;5488.186142382812
28;7028.3621748697915;2498.82565061849
29;9324.172950043403;3474.7220960720483
30;12425.406558159722;6387.872816948785
31;11935.054153862848;5949.503646430122
32;4286.449371392145;3269.6946806749133
33;1605.9131601243841;9040.157669082755
34;3380.0659146385688;9337.600425189148
35;6709.431017057292;12021.687836024306
36;6548.512240125868;12987.471932986111
37;8066.5088335286455;10698.242545876737
38;6936.547667078992;14339.251561371526
39;5473.265248394097;17352.495282899305
40;2813.6608222059463;13838.226358940972
41;7242.569826236979;17868.916806510417
42;3534.231622553168;16735.10127078993
43;-2653.4839668728296;17028.70924800347
44;-8517.836909606862;11317.638480352372
45;-8016.4982078749445;15942.448104249148
46;-6634.274214474827;16938.8509546875
47;-4705.831116753472;12781.92348780382
48;-5310.862837738716;12800.92696595052
49;-5846.616113194445;6907.421684157986
50;-5366.296902907987;8017.778344921875
51;-6557.268322460937;7989.438008821615
52;-6473.327269965278;3950.3216099392357
53;-3945.505486214341;4073.4346771918404
54;929.1355098086992;6655.793632573785
55;5397.714450412361;4315.190054969177
56;7518.6323771402185;1749.533522633896
57;5087.341669162327;1029.1330188096788
58;6550.653020073785;1362.8212672010634
59;12033.94795533854;2013.9273335883247
60;15146.311909982638;3890.8575357964414
61;16122.131166666668;3905.6106854926215
62;13810.60906436632;4809.615397070312
63;10715.684074262153;5567.349863259548
64;7041.217448372396;2231.709402094184
65;5706.385747916666;1646.2926914659288
66;8928.021582071297;2893.0516832404096
67;7243.561562352557;2664.740938748668
68;2835.748097081163;1304.6997785373264
69;3557.318982389323;1692.7444710286459
70;6050.896051605902;3044.731071419271
71;5631.074788932291;3951.223305761719
72;7051.236522265625;6556.595659244792
73;8914.606788454861;9195.41652013889
74;10956.289256401911;10529.74152486979
75;7515.641651063368;6882.740601638455
76;3073.017942675781;3060.302870095486
77;3542.6266390802175;3563.5850769218614
78;6154.024504979523;5333.480849096019
79;6293.704301909723;4869.071538009983
80;2796.9753792209203;1894.1910342610677
81;3643.8704713216143;2604.2816309027776
82;6071.257087174479;4321.350999826389
83;6453.938747374132;4729.646351150174
84;7150.424334244791;5307.552730208333
85;7654.300889171007;5357.9272249565975
86;8064.781395898438;3907.7497938368056
87;6732.767236219617;2221.4203145887586
88;6188.165171242805;1391.173262139463
89;7078.4557319259675;2057.6942085088563
90;10475.942854730903;5523.034776963976
91;17202.75077404514;10262.514584027776
92;19414.289372829862;11421.63090499132
93;16810.705751388887;8297.117200542536
94;10607.353770182292;4889.663204541016
95;3190.2237515407987;1990.1837133355036
