;PV_average;Load_average_actual;Load_average_optimized
0;0.0730229311616225;1781.3954337899536;1789.176255707762
1;0.05526760882828594;4299.265753424658;3222.1881278538813
2;-0.03379833353845403;7921.6401826484025;5684.580821917808
3;0.05461859735096406;9792.803652968034;6575.378995433792
4;0.1183160119018694;8543.097716894976;5021.94703196347
5;0.07503058667106961;8315.108675799085;4670.414611872146
6;0.3595742284456946;10152.847488584473;6180.51872146119
7;0.4064661917890581;10571.126940639268;5696.642922374431
8;0.5561891713216306;10053.128767123288;4303.484931506849
9;0.7801693713426994;9592.949771689498;4200.091324200913
10;1.0772451057139423;10801.15068493151;5800.785388127852
11;1.2276410313858244;11017.187214611868;5661.351598173516
12;1.595444782243732;9905.709589041096;5200.650228310504
13;1.8630315824257682;10206.568036529681;6264.924200913241
14;3.4878573800590007;11469.848401826484;7567.07214611872
15;17.709025546139717;11374.805479452052;7173.94703196347
16;99.63239401345766;10553.048401826483;5801.578082191781
17;244.54375596243221;11199.799086757994;5924.365296803652
18;563.4186241051912;12289.01187214612;7210.893150684932
19;1036.3523044543022;11813.095890410952;7205.369863013702
20;1700.819093428871;9920.456621004569;5122.301369863011
21;2433.2750445109546;9805.172602739727;5007.47397260274
22;3579.58634625727;11074.739726027401;6436.146118721461
23;4622.024887740219;11791.948858447486;6619.254794520549
24;5994.156005254723;10021.811872146116;5418.889497716896
25;7560.671221965151;10019.704109589042;6223.521461187216
26;9630.18093898099;11115.503196347026;7867.649315068495
27;11317.792054370731;10951.181735159817;8063.967123287671
28;13441.01024077227;9721.74611872146;7224.55890410959
29;15648.131453526006;9581.475799086762;9038.297716894984
30;17972.793085576384;11317.311415525119;11576.617351598172
31;20069.333690180785;11152.241095890411;13730.743378995432
32;22412.86108293741;9706.889497716891;13615.07214611872
33;24105.134613956812;9832.971689497714;14850.26849315068
34;26433.06920547655;11142.728767123288;17899.404566210047
35;28754.09755668377;11156.17534246575;19791.152511415523
36;30376.152016688116;10046.275799086761;21073.01552511415
37;32190.144989722136;9961.727853881279;22454.403652968023
38;34135.92091397656;11714.652054794518;25127.236529680373
39;35744.73335175359;11159.192694063928;25620.4894977169
40;37612.68200766315;8918.761643835616;24638.158904109587
41;38637.53536277899;9234.790867579912;26007.868493150672
42;39729.121332778646;10539.642009132423;28414.673972602737
43;40250.56852447489;10534.995433789954;28628.146118721448
44;40766.54643502484;9153.647488584476;27329.684018264834
45;41121.648610827106;9465.914155251137;25656.653881278537
46;40808.286331745905;11205.559817351601;27532.482191780808
47;41303.46343757502;11753.329680365294;26900.05114155252
48;40570.975514561;10557.435616438357;23803.35342465754
49;39916.014619571586;10094.09315068493;23224.284931506845
50;39347.87353161378;11960.690410958905;23414.900456621
51;38268.75714735602;10783.897716894975;21391.51415525115
52;37863.73855593918;9703.915981735161;19193.81552511415
53;36223.01640398943;9814.334246575345;17723.59452054794
54;34193.21390897936;11658.947945205475;17422.98447488585
55;32416.106197863082;12332.200913242004;16104.146118721459
56;30999.00294505876;10811.999999999996;12840.529680365293
57;29437.995797491232;10384.989954337903;10638.652054794522
58;27119.043122966606;11928.646575342465;11150.911415525115
59;24854.916452235084;11127.791780821915;9472.94246575343
60;22147.59088743483;8784.672146118724;6388.873059360732
61;20253.531951965662;8641.380821917804;5347.463013698631
62;17946.771550887253;10106.524200913249;5881.647488584473
63;15984.604427592458;11228.653881278537;5574.882191780824
64;13530.343741402028;9831.163470319632;3895.3826484018277
65;11943.974418326809;9333.121461187216;3750.034703196347
66;10137.763717259424;10788.949771689497;5462.721461187216
67;8513.4340869551;10871.64200913242;5672.299543378996
68;6588.741486859154;8876.171689497713;3965.4136986301382
69;5144.777409758624;9284.157077625574;4101.088584474886
70;3865.1498679908723;10944.146118721463;5327.707762557076
71;2962.7945296598177;10855.941552511416;5461.694977168949
72;2081.115231175708;9613.044748858447;4335.309589041097
73;1464.0033271808582;9896.705022831049;4555.572602739727
74;776.8230659345081;11614.144292237444;6127.5689497716885
75;403.1674530718651;11859.948858447486;5949.738812785389
76;163.54320584354872;9220.237442922373;3595.397260273974
77;55.099586237261136;8284.259360730592;3422.9808219178085
78;10.345844135295403;9975.69315068493;5226.633789954339
79;2.2327619632376905;10134.842009132422;5271.33515981735
80;0.14835173887587047;9093.581735159818;3900.449315068495
81;0.008550049708932753;9151.327853881281;3799.711415525114
82;0.1436122782608596;10254.673972602739;5343.459360730593
83;-0.016188367878901863;10857.91415525114;5441.220091324202
84;-0.07100971447291132;9976.157077625576;4171.627397260274
85;-0.023910137368931973;9331.579908675796;4013.205479452054
86;-0.026626802451967368;10497.596347031966;4952.171689497716
87;-0.02238698114954267;10957.998173515985;4951.806392694063
88;-0.09885898343815579;9642.765296803655;3810.3452054794516
89;0.09737101157638461;9871.488584474888;3904.6210045662115
90;-0.045178691725310076;10819.075799086759;5152.427397260273
91;0.13002284316459362;9831.872146118723;5194.995433789956
92;-0.07245732284528006;8443.777168949771;5737.000913242009
93;-0.02733716180917528;6737.296803652969;5191.013698630137
94;-0.09627220624129312;4956.10593607306;4373.34794520548
95;0.0042293130862565385;2008.81095890411;2734.1808219178083
