;PV_Winter;PV_Spring;PV_Summer;PV_Autumn;Load_Winter_actual;Load_Spring_actual;Load_Summer_actual;Load_Autumn_actual;Load_Winter_optimized;Load_Spring_optimized;Load_Summer_optimized;Load_Autumn_optimized
0;-0.1883237237295464;0.20644687433092831;-0.07458487100703118;0.3426012773575546;3400.0;1600.0;2235.9999999999995;2253.333333333333;4680.0;939.9999999999998;2235.9999999999995;746.6666666666666
1;0.009605468044977599;-0.20215139023777004;-0.08998744800588987;0.429443647036604;4890.666666666667;9246.666666666668;2337.333333333333;5412.0;4890.666666666667;8346.666666666668;2337.333333333333;3512.0
2;0.15694415404962916;-0.536712994346329;-0.09560550027174033;1.2276690627003335;6057.333333333334;15657.333333333332;4210.666666666666;11673.333333333332;4457.333333333333;14757.333333333332;4210.666666666666;7373.333333333333
3;0.08598838328647161;0.4553908321932386;0.024434824900694162;2.3527051429116446;5943.333333333333;14163.333333333334;5604.0;16686.666666666668;5463.333333333334;10680.0;5604.0;8733.333333333332
4;-0.02198732130065996;0.526801656747184;-0.03314993420296724;4.40239411166179;6113.333333333333;16056.666666666666;4210.666666666666;15968.666666666666;11263.333333333334;6546.666666666667;4210.666666666666;6948.666666666667
5;-0.2858898483386255;-0.03376676709171941;0.017140436151392498;6.696825107849404;5026.933333333333;11714.0;2737.333333333333;12684.666666666666;13690.266666666666;1614.0;2204.0;4096.666666666667
6;-0.11587315171876998;-0.084432626920711;0.10630907616065459;10.221506239271141;8628.0;10301.333333333334;8130.666666666666;12847.333333333332;19018.0;2061.333333333333;7130.666666666667;6347.333333333333
7;0.040586794630105484;-0.05286108376894666;-0.029656072021917487;14.911581016289556;9134.0;7693.333333333334;6350.0;9476.666666666666;17484.0;2426.6666666666665;5350.0;5543.333333333333
8;-0.12238471365338134;0.04445721808210382;0.05747950383980343;20.94615106233434;7958.666666666667;7314.666666666666;5797.333333333334;10056.666666666666;8778.666666666666;1368.0;3864.0;6430.0
9;-0.05448024868784536;-0.27618575192543704;0.703482830380904;27.33577269701335;6658.666666666666;12020.0;5088.666666666667;11675.333333333332;5958.666666666667;3710.0;3155.333333333333;5096.666666666666
10;0.5120110253822958;-0.22382958398545272;-0.2959762754569979;36.162648427487206;10577.6;14530.666666666666;6721.333333333333;12205.866666666667;7277.6;6280.666666666667;4854.666666666667;4885.866666666667
11;-0.0005410440639712102;-0.10973618742774352;-0.2640146991619919;44.553087078600484;12332.000000000002;14945.333333333334;10200.666666666668;11114.0;4845.333333333333;8345.333333333332;8200.666666666668;4682.0
12;-0.15279384697359483;-0.10692844568011604;0.6256246059803959;56.69296039856829;10819.333333333332;12504.0;8266.666666666668;9022.0;986.0;7664.0;5666.666666666667;3182.0
13;-0.25742539032838513;0.09823436997014681;0.04216305566193991;67.7342218341782;11500.8;10004.0;7304.400000000001;6587.333333333333;1380.7999999999997;5803.999999999999;2304.3999999999996;4067.3333333333335
14;0.1962180428209142;-0.22896592580062058;0.11484171832266088;83.1330470934089;10291.333333333332;10626.666666666666;7222.666666666667;6680.666666666667;3641.333333333333;5960.0;2622.6666666666665;5760.666666666667
15;-0.034244474095009386;-0.435676189322483;11.435857799075137;98.75435797325771;8930.4;6896.0;6853.333333333333;7988.666666666667;3380.4;2476.0;2853.333333333333;7314.0
16;-0.09417688527314952;0.45165142831458754;175.49336588254133;116.59470556384082;6882.0;4549.2;6151.333333333334;6459.333333333334;2848.666666666667;1309.1999999999998;2359.333333333333;5392.666666666667
17;0.2055141498485235;0.15133834287405734;825.2497370342871;134.48569474439978;4560.666666666666;4380.133333333333;4710.666666666666;8167.333333333334;1260.6666666666665;1130.133333333333;3790.666666666666;3367.3333333333335
18;0.1653075743915786;-0.4593356150722341;2046.623931733768;157.76528148070255;6923.2;5297.333333333333;7714.0;8964.0;3623.2;3247.333333333333;4614.0;2564.0
19;0.17773408841592536;31.282562404690072;3354.770294638697;179.40411763241872;8057.333333333334;3592.6666666666665;11639.333333333332;13351.733333333334;3690.6666666666665;3412.6666666666665;6744.666666666667;4868.400000000001
20;0.5977617730539957;447.06611161247804;5692.913055538476;208.40775707816678;11329.066666666668;3615.3333333333335;11583.333333333332;16107.466666666667;4509.066666666667;2848.666666666666;5090.0;4524.133333333333
21;0.3717366934522288;1349.1048208334228;7595.352074233334;233.97659978437744;13477.466666666667;2184.0;15504.0;13179.333333333332;4227.466666666666;2284.0;4423.999999999999;5279.333333333333
22;-0.0351499145761862;3080.924936717486;9777.382944224133;267.2097076624097;13198.666666666666;4335.333333333334;17078.0;15529.333333333332;4415.333333333333;4435.333333333334;4078.0;7409.333333333334
23;0.9092072272681507;5232.757549873276;11330.531104177846;298.0037267832186;8533.199999999999;6834.0;19476.933333333334;17661.333333333332;3266.5333333333333;6934.0;6844.9333333333325;7794.666666666667
24;0.7887913600496095;8331.750944935187;11966.93660844639;413.01030060875524;11566.0;2262.6666666666665;18584.666666666664;15622.0;4166.0;2562.6666666666665;7571.333333333333;6072.0
25;-0.3046984505926964;11108.135228331246;15958.539861693562;754.9375722221511;14066.0;5352.666666666666;15680.666666666668;14960.666666666666;4416.0;4285.999999999999;11646.0;3660.6666666666665
26;-0.021559185963934177;14978.823076672601;20657.61581258519;2218.693402309113;15664.666666666668;6124.8;13675.333333333334;17948.13333333333;6014.666666666666;4334.799999999999;11335.333333333332;8131.466666666666
27;-0.17104615867095874;18077.456445783242;23456.002902289587;4281.708480697021;11388.0;6273.866666666666;9518.666666666668;21286.666666666664;5721.333333333333;5623.866666666666;10488.666666666668;9786.666666666666
28;-0.07991597668869531;21122.034739237948;25709.440301841227;6514.671033873633;6854.133333333333;4633.066666666667;8437.333333333334;22058.666666666668;2440.8;6706.400000000001;13967.333333333332;11108.666666666666
29;-0.05797030268931454;23590.500408293887;28661.490973103457;8296.723207944444;9030.666666666666;4869.333333333333;7570.666666666666;19631.6;3230.6666666666665;12522.666666666666;11991.333333333334;12221.599999999999
30;190.37379559465055;26334.048820220527;31571.14419155335;11356.150715814483;12520.666666666666;10714.666666666666;6523.333333333333;10570.666666666666;6520.666666666666;22114.666666666668;10509.333333333334;6941.333333333332
